hemisphere,kappa,se,sn,jaccard,subject,num_atlases
1,0.8194911186,0.845049505,0.9998764267,0.6941846279,14,1
101,0.8549508511,0.8504650608,0.9999179445,0.7466499162,14,1
1,0.7785675232,0.7957085382,0.9998436238,0.6374216652,09,1
101,0.7758718619,0.836599706,0.9998161872,0.6338158872,09,1
1,0.787483437,0.8325431034,0.9998158913,0.649462004,22,1
101,0.8193384224,0.8146124266,0.9998790855,0.6939655172,22,1
1,0.5999331923,0.5066766974,0.9998634537,0.4285032607,03,1
101,0.6171414834,0.5495611218,0.9998478422,0.4462795549,03,1
1,0.8780664653,0.8550247117,0.999944686,0.7826367945,11,1
101,0.8760124611,0.8415130476,0.9999531313,0.7793791574,11,1
1,0.8524132429,0.8178339074,0.9999256747,0.742787626,23,1
101,0.8866146519,0.8544921875,0.9999473537,0.7963232617,23,1
1,0.867325822,0.8976677772,0.999898099,0.7657328461,13,1
101,0.8501368885,0.8874254473,0.9998865606,0.7393374741,13,1
1,0.8538730273,0.8824701195,0.999895709,0.7450073576,15,1
101,0.8849665247,0.8922434953,0.9999287832,0.7936681223,15,1
1,0.874678513,0.8560640732,0.9999376475,0.777269894,28,1
101,0.8270742358,0.851618705,0.999869945,0.7051377513,28,1
1,0.8746298124,0.89224572,0.9999172433,0.7771929825,31,1
101,0.8749351323,0.9188010899,0.9999062694,0.7776752768,31,1
1,0.8664031621,0.8694469628,0.9999145639,0.7642956764,57,1
101,0.871190665,0.8347807208,0.999947076,0.7717784022,57,1
1,0.8800947867,0.9152291769,0.9999059827,0.7858654253,59,1
101,0.8387174542,0.8279390766,0.9999134404,0.7222337554,59,1
1,0.8868940754,0.853011008,0.9999539729,0.7967741935,64,1
101,0.8562537403,0.8422415823,0.9999252627,0.7486395982,64,1
1,0.8776590001,0.8619300106,0.9999321549,0.7819896094,40,1
101,0.8778885117,0.842370744,0.9999486232,0.7823540894,40,1
1,0.8635872501,0.9163083978,0.9998989536,0.7599239363,46,1
101,0.8129517202,0.880952381,0.9998713753,0.6848514369,46,1
1,0.8144350227,0.8271580212,0.9998565626,0.6869594145,67,1
101,0.8436984574,0.8398686498,0.9998899206,0.7296526263,67,1
1,0.8109307486,0.7981609195,0.9998957041,0.6819878216,77,1
101,0.8468489893,0.8173054854,0.9999307508,0.7343782223,77,1
1,0.833814433,0.8317564788,0.9998882363,0.7149929279,70,1
101,0.8504038772,0.8787002003,0.9998812045,0.7397414278,70,1
1,0.8583446404,0.8947666195,0.9999054267,0.7518421678,79,1
101,0.8599752169,0.8935622318,0.9999092271,0.7543478261,79,1
1,0,0,0.9996254474,0,76,1
101,0,0,0.9996192024,0,76,1
1,0.8812582543,0.957474563,0.9998837488,0.7877226873,13,2
101,0.7938770124,0.9397063418,0.9998073442,0.6582056893,13,2
