label,k,se,sp,j,atlas,template
1,0.8432908913,0.9159574468,0.9999556867,0.7290431837,002_S_0295,094_S_1188
101,0.8290182005,0.8797606094,0.9999589966,0.7079684764,002_S_0295,094_S_1188
1,0.8267782427,0.7882978723,0.9999794982,0.7047075606,002_S_0295,021_S_0753
101,0.82084146,0.8014145811,0.9999744418,0.6961247637,002_S_0295,021_S_0753
1,0.8341040462,0.7675531915,0.9999874047,0.715418939,002_S_0295,127_S_0431
101,0.6206231931,0.5255712731,0.9999715918,0.4499301351,002_S_0295,127_S_0431
1,0.8446502058,0.8734042553,0.9999663513,0.7310774711,002_S_0295,067_S_0029
101,0.850372737,0.8688792165,0.9999704886,0.7396943029,002_S_0295,067_S_0029
1,0.7848039216,0.8515957447,0.9999449302,0.6458249294,002_S_0295,067_S_0056
101,0.7730649413,0.8775843308,0.9999336222,0.630078125,002_S_0295,067_S_0056
1,0.8749669574,0.8803191489,0.9999771998,0.7777255639,002_S_0295,094_S_1293
101,0.8320301968,0.8394994559,0.999969845,0.7123730379,002_S_0295,094_S_1293
1,0.8219178082,0.8138297872,0.9999712239,0.6976744186,002_S_0295,057_S_1217
101,0.8640802323,0.8906420022,0.9999711321,0.7606877323,002_S_0295,057_S_1217
1,0.8238341969,0.8457446809,0.9999641448,0.7004405286,002_S_0295,941_S_1202
101,0.5527733756,0.4744287269,0.9999590885,0.3819535699,002_S_0295,941_S_1202
1,0.8217136775,0.8212765957,0.9999692933,0.6973803071,002_S_0295,098_S_0149
101,0.8287705326,0.9058759521,0.999952653,0.7076073098,002_S_0295,098_S_0149
1,0.7963193236,0.8515957447,0.9999503544,0.6615702479,002_S_0295,020_S_0213
101,0.8291075051,0.8895538629,0.9999566982,0.708098744,002_S_0295,020_S_0213
1,0.8665937671,0.8430851064,0.9999822563,0.7645923782,002_S_0295,021_S_0343
101,0.8364170338,0.7747551687,0.9999868532,0.7188288743,002_S_0295,021_S_0343
1,0.8500405296,0.8367021277,0.9999771998,0.7391917293,002_S_0295,021_S_1109
101,0.8439869989,0.8476605005,0.999972787,0.7300843486,002_S_0295,021_S_1109
1,0.8273155416,0.8409574468,0.999966811,0.7054886212,002_S_0295,021_S_0337
101,0.8113059409,0.8433079434,0.9999601917,0.6825187142,002_S_0295,021_S_0337
1,0.8309471366,0.8026595745,0.9999776595,0.7107866227,002_S_0295,021_S_0642
101,0.8776939655,0.886289445,0.9999774757,0.7820451272,002_S_0295,021_S_0642
1,0.8532494759,0.8659574468,0.9999716836,0.7440585009,002_S_0295,116_S_0382
101,0.8419989904,0.907508161,0.9999580772,0.727114211,002_S_0295,116_S_0382
1,0.8588326048,0.8882978723,0.9999688336,0.7525912573,002_S_0295,021_S_0159
101,0.8307930767,0.8748639826,0.9999609272,0.7105612019,002_S_0295,021_S_0159
1,0.8424675669,0.8462765957,0.9999718675,0.7278133577,002_S_0295,011_S_0010
101,0.8521126761,0.8558215452,0.999974166,0.7423312883,002_S_0295,011_S_0010
1,0.2867362146,0.2558510638,0.9999086153,0.1673625609,002_S_0295,011_S_0183
101,0.5795737614,0.569640914,0.9999330706,0.4080280592,002_S_0295,011_S_0183
1,0.710994459,0.6484042553,0.999969661,0.5515837104,002_S_0295,014_S_1095
101,0.7975528365,0.7801958651,0.9999702128,0.6632747456,002_S_0295,014_S_1095
1,0.8489208633,0.8473404255,0.9999742578,0.7375,002_S_0295,014_S_0328
101,0.8748995446,0.8884657236,0.9999759128,0.7776190476,002_S_0295,014_S_0328
1,0.2311309082,0.2484042553,0.9998442599,0.1306659205,002_S_0295,011_S_0168
101,0.8362557324,0.8433079434,0.9999706724,0.7185906351,002_S_0295,011_S_0168
1,0.8423337856,0.8255319149,0.9999767401,0.7276136896,002_S_0295,011_S_0053
101,0.8278127566,0.8226332971,0.9999721434,0.7062120504,002_S_0295,011_S_0053
1,0.8447000822,0.820212766,0.9999789466,0.7311522048,002_S_0295,013_S_1205
101,0.8229561451,0.8269858542,0.9999691095,0.6991720331,002_S_0295,013_S_1205
1,0.2980354576,0.3308510638,0.9998462825,0.1751126126,002_S_0295,011_S_0016
101,0.6093353628,0.6534276387,0.9999169818,0.438161255,002_S_0295,011_S_0016
1,0.6635761589,0.5329787234,0.9999873128,0.496531219,002_S_0295,016_S_0991
101,0.7952573742,0.7480957563,0.9999774757,0.6601056169,002_S_0295,016_S_0991
1,0.829726206,0.8462765957,0.9999665352,0.7090017825,002_S_0295,009_S_1030
101,0.8148345784,0.8307943417,0.9999647885,0.6875281405,002_S_0295,009_S_1030
1,0.8170083523,0.8585106383,0.9999579851,0.6906290116,002_S_0295,011_S_0005
101,0.8239219713,0.8732317737,0.999958353,0.7005674378,002_S_0295,011_S_0005
1,0.7418677859,0.7521276596,0.999952377,0.5896580484,002_S_0295,011_S_0022
101,0.7863291139,0.8449401523,0.9999486078,0.6478931998,002_S_0295,011_S_0022
1,0.8028716722,0.7138297872,0.9999888757,0.6706646677,002_S_0295,011_S_0003
101,0.827406765,0.7785636561,0.9999825322,0.7056213018,002_S_0295,011_S_0003
1,0.8318771512,0.8356382979,0.9999700288,0.7121486854,002_S_0295,007_S_1339
101,0.837543054,0.7937976061,0.999982808,0.7204938272,002_S_0295,007_S_1339
1,0.8185852258,0.8340425532,0.9999647884,0.6928855502,002_S_0295,009_S_0751
101,0.7635574837,0.7660500544,0.9999593643,0.6175438596,002_S_0295,009_S_0751
1,0.6154798762,0.5287234043,0.9999672707,0.4445438283,002_S_0295,011_S_0241
101,0.5969560316,0.5761697497,0.9999401497,0.4254720771,002_S_0295,011_S_0241
1,0.8271635205,0.8973404255,0.9999529286,0.7052675585,002_S_0295,007_S_1222
101,0.7985703344,0.8509249184,0.999952653,0.6646833829,002_S_0295,007_S_1222
1,0.8599160546,0.8718085106,0.9999730627,0.7542567879,002_S_0295,007_S_1206
101,0.8353706112,0.8737758433,0.9999631337,0.717284502,002_S_0295,007_S_1206
1,0.8431480462,0.814893617,0.9999795901,0.728829686,002_S_0295,007_S_0698
101,0.7612716763,0.7165397171,0.9999719595,0.6145590294,002_S_0295,007_S_0698
1,0.8640900947,0.8978723404,0.9999688336,0.7607030194,002_S_0295,007_S_0293
101,0.8676148796,0.8628944505,0.9999786709,0.7661835749,002_S_0295,007_S_0293
1,0.8555828556,0.8335106383,0.9999801418,0.7476145038,002_S_0295,007_S_0249
101,0.8323570432,0.8117519042,0.9999765563,0.712852365,002_S_0295,007_S_0249
1,0.8612640965,0.8734042553,0.9999732465,0.7563334869,002_S_0295,007_S_0101
101,0.8689138577,0.8835690968,0.9999746257,0.7682119205,002_S_0295,007_S_0101
1,0.8483685221,0.8228723404,0.999979774,0.7366666667,002_S_0295,007_S_0316
101,0.8117012212,0.7774755169,0.9999766483,0.6830783939,002_S_0295,007_S_0316
1,0.8558234992,0.8872340426,0.9999678223,0.7479820628,002_S_0295,007_S_0070
101,0.8439490446,0.8650707291,0.9999687418,0.7300275482,002_S_0295,007_S_0070
1,0.8395961862,0.7962765957,0.999982624,0.723537941,002_S_0295,007_S_0414
101,0.8275669643,0.8068552775,0.9999758208,0.7058543551,002_S_0295,007_S_0414
1,0.8536977492,0.8473404255,0.9999761885,0.744740533,002_S_0295,006_S_1130
101,0.8447809627,0.8498367791,0.9999726031,0.7312734082,002_S_0295,006_S_1130
1,0.8051948052,0.8409574468,0.9999571577,0.6739130435,002_S_0295,006_S_0731
101,0.7998015381,0.8770402612,0.9999465852,0.6663910707,002_S_0295,006_S_0731
1,0.8303393214,0.885106383,0.9999573416,0.7098976109,002_S_0295,007_S_0068
101,0.8006222453,0.8400435256,0.9999563304,0.6675313446,002_S_0295,007_S_0068
1,0.8054869684,0.7808510638,0.9999726949,0.6743224621,002_S_0295,007_S_0041
101,0.8343624161,0.845484222,0.9999693853,0.7157991709,002_S_0295,007_S_0041
1,0.8543935173,0.8973404255,0.9999648803,0.7458001768,002_S_0295,006_S_0681
101,0.8383947939,0.8411316649,0.9999720515,0.7217553688,002_S_0295,006_S_0681
1,0.8224137931,0.7611702128,0.9999844628,0.6983894583,002_S_0295,006_S_0675
101,0.8363128492,0.8144722524,0.9999774757,0.718674988,002_S_0295,006_S_0675
1,0.8416532475,0.8340425532,0.9999744417,0.7265987025,002_S_0295,005_S_1341
101,0.8714442013,0.866702938,0.9999793144,0.7721764421,002_S_0295,005_S_1341
1,0.8675105485,0.820212766,0.9999877725,0.7660208644,002_S_0295,005_S_0814
101,0.7932061979,0.7241566921,0.999982808,0.6572839506,002_S_0295,005_S_0814
1,0.8566619916,0.8122340426,0.9999854741,0.7492639843,002_S_0295,005_S_0610
101,0.8387275242,0.8248095756,0.9999760047,0.7222486899,002_S_0295,005_S_0610
1,0.8237715462,0.8515957447,0.9999626739,0.7003499563,002_S_0295,005_S_0602
101,0.8218613045,0.8672470076,0.9999589046,0.6975929978,002_S_0295,005_S_0602
1,0.8477388279,0.8425531915,0.9999749014,0.7357176033,002_S_0295,005_S_0553
101,0.828741221,0.8346028292,0.9999696611,0.7075645756,002_S_0295,005_S_0553
