label,k,se,sp,j,atlas,template
1,0.8194014448,0.8446808511,0.99996249,0.6940559441,002_S_0295,067_S_0029
101,0.8191256831,0.8155603917,0.9999703047,0.6936603424,002_S_0295,067_S_0029
1,0.8374897232,0.8127659574,0.9999778434,0.7204148986,002_S_0295,021_S_1109
101,0.8351764086,0.8628944505,0.999965616,0.7169981917,002_S_0295,021_S_1109
1,0.7768383295,0.8063829787,0.9999533883,0.6351068287,002_S_0295,941_S_1202
101,0.4983875696,0.4624591948,0.9999335303,0.3319016009,002_S_0295,941_S_1202
1,0.7954173486,0.7755319149,0.9999698449,0.660326087,002_S_0295,098_S_0149
101,0.8204225352,0.8873775843,0.9999533885,0.6955223881,002_S_0295,098_S_0149
1,0.8201766885,0.7654255319,0.9999825321,0.6951690821,002_S_0295,127_S_0431
101,0.5930902111,0.5043525571,0.9999668111,0.4215552524,002_S_0295,127_S_0431
1,0.7879542061,0.8420212766,0.9999489754,0.6501026694,002_S_0295,021_S_0159
101,0.7727160798,0.8536452666,0.9999398739,0.6296147673,002_S_0295,021_S_0159
1,0.8092672414,0.7989361702,0.999969661,0.679638009,002_S_0295,021_S_0337
101,0.7977148793,0.8356909684,0.9999561466,0.6634989201,002_S_0295,021_S_0337
1,0.7858425237,0.814893617,0.999955227,0.6472327841,002_S_0295,020_S_0213
101,0.8142005701,0.8547334059,0.9999586288,0.6866258741,002_S_0295,020_S_0213
1,0.8260299134,0.8372340426,0.9999671787,0.7036209209,002_S_0295,116_S_0382
101,0.8170322581,0.8612622416,0.9999582611,0.6906631763,002_S_0295,116_S_0382
1,0.770751897,0.8914893617,0.9999270945,0.6270108492,002_S_0295,094_S_1188
101,0.7576923077,0.8574537541,0.9999314158,0.6099071207,002_S_0295,094_S_1188
1,0.7891598916,0.7744680851,0.9999674545,0.6517457475,002_S_0295,057_S_1217
101,0.8556235044,0.8754080522,0.9999711321,0.7476765799,002_S_0295,057_S_1217
1,0.7602870813,0.845212766,0.9999346333,0.6132767271,002_S_0295,067_S_0056
101,0.7528641571,0.8759521219,0.9999237851,0.6036745407,002_S_0295,067_S_0056
1,0.8632721633,0.8882978723,0.9999706723,0.7594361073,002_S_0295,094_S_1293
101,0.8313601684,0.8596300326,0.9999647885,0.7113912652,002_S_0295,094_S_1293
1,0.7339988256,0.664893617,0.9999746256,0.5797773655,002_S_0295,021_S_0642
101,0.8470973017,0.845484222,0.9999745337,0.734751773,002_S_0295,021_S_0642
1,0.7851809305,0.7271276596,0.999978395,0.6463356974,002_S_0295,021_S_0753
101,0.7774993038,0.7595212187,0.9999671789,0.6359908884,002_S_0295,021_S_0753
1,0.856516977,0.8319148936,0.9999808772,0.7490421456,002_S_0295,021_S_0343
101,0.8230880231,0.7758433079,0.9999815209,0.6993624326,002_S_0295,021_S_0343
1,0.5813620072,0.4313829787,0.9999908983,0.4098029308,002_S_0295,016_S_0991
101,0.7728753331,0.7100108814,0.999978487,0.6298262548,002_S_0295,016_S_0991
1,0.832281087,0.8063829787,0.9999772917,0.7127409497,002_S_0295,011_S_0053
101,0.7926523796,0.7747551687,0.9999695692,0.6565237437,002_S_0295,011_S_0053
1,0.8281040493,0.8212765957,0.9999719594,0.7066361556,002_S_0295,014_S_0328
101,0.8463018972,0.8373231774,0.9999760967,0.7335557674,002_S_0295,014_S_0328
1,0.706670728,0.6170212766,0.9999776595,0.5463966086,002_S_0295,014_S_1095
101,0.7812410638,0.7431991295,0.9999730628,0.6410136086,002_S_0295,014_S_1095
1,0.3928888889,0.3526595745,0.999923509,0.2444690265,002_S_0295,011_S_0183
101,0.5038124823,0.4853101197,0.9999254399,0.3367308418,002_S_0295,011_S_0183
1,0.8432226456,0.8239361702,0.9999774756,0.7289411765,002_S_0295,013_S_1205
101,0.7993172397,0.8917301415,0.999942632,0.6657189277,002_S_0295,013_S_1205
1,0.7095343681,0.7659574468,0.9999320591,0.5498281787,002_S_0295,011_S_0022
101,0.7621804149,0.8596300326,0.9999330706,0.6157443492,002_S_0295,011_S_0022
1,0.7095730918,0.5835106383,0.9999894273,0.5498746867,002_S_0295,011_S_0241
101,0.5265753425,0.5228509249,0.9999217625,0.3573819264,002_S_0295,011_S_0241
1,0.2577002053,0.2670212766,0.9998608084,0.1479080731,002_S_0295,011_S_0168
101,0.7892866904,0.7856365615,0.9999653401,0.6519187359,002_S_0295,011_S_0168
1,0.3165365507,0.3558510638,0.9998457309,0.1880269815,002_S_0295,011_S_0016
101,0.5787168256,0.6109902067,0.9999154189,0.4071791153,002_S_0295,011_S_0016
