jensid, RID
ADNI001, 0955
ADNI002, 1059
ADNI003, 1122
ADNI004, 0221
ADNI005, 1341
ADNI006, 0675
ADNI007, 0041
ADNI008, 0067
ADNI009, 0829
ADNI010, 0010
ADNI011, 0053
ADNI012, 1133
ADNI013, 1175
ADNI014, 1321
ADNI015, 0520
ADNI016, 0538
ADNI017, 0769
ADNI018, 1138
ADNI019, 0425
ADNI020, 0044
ADNI021, 0129
ADNI022, 1190
ADNI023, 0985
ADNI024, 1171
ADNI025, 1081
ADNI026, 0914
ADNI027, 0830
ADNI028, 0677
ADNI029, 0718
ADNI030, 1037
ADNI031, 1169
ADNI032, 0760
ADNI033, 1240
ADNI034, 0898
ADNI035, 1250
ADNI036, 1352
ADNI037, 0934
ADNI038, 0076
ADNI039, 0110
ADNI040, 1241
ADNI041, 1402
ADNI042, 0892
ADNI043, 0173
ADNI044, 0374
ADNI045, 0458
ADNI046, 0487
ADNI047, 1249
ADNI048, 0298
ADNI049, 0390
ADNI050, 0622
ADNI051, 0754
ADNI052, 1382
ADNI053, 0310
ADNI054, 1407
ADNI055, 0969
ADNI056, 0433
ADNI057, 0493
ADNI058, 1244
ADNI059, 1378
ADNI060, 1295
