atlases,subject,res,label,k,se,sn,j
jon.mallar.nancy,anusha,0.9,1,0.4877,0.5484,0.9999,0.3225
jon.mallar.nancy,anusha,0.9,2,0.5240,0.6541,0.9999,0.3551
jon.mallar.nancy,anusha,0.9,4,0.5766,0.5232,0.9999,0.4051
jon.mallar.nancy,anusha,0.9,5,0.4033,0.5274,0.9999,0.2526
jon.mallar.nancy,anusha,0.9,6,0.4315,0.4402,0.9999,0.2751
jon.mallar.nancy,anusha,0.9,101,0.5899,0.6663,0.9999,0.4183
jon.mallar.nancy,anusha,0.9,102,0.6200,0.7631,0.9999,0.4492
jon.mallar.nancy,anusha,0.9,104,0.6877,0.6091,0.9999,0.5240
jon.mallar.nancy,anusha,0.9,105,0.5630,0.6411,0.9999,0.3918
jon.mallar.nancy,anusha,0.9,106,0.4737,0.4578,0.9999,0.3104
jon.mallar.sofia,anusha,0.9,1,0.5280,0.5712,0.9999,0.3587
jon.mallar.sofia,anusha,0.9,2,0.5473,0.7514,0.9999,0.3768
jon.mallar.sofia,anusha,0.9,4,0.6142,0.5628,0.9999,0.4432
jon.mallar.sofia,anusha,0.9,5,0.4842,0.5747,0.9999,0.3194
jon.mallar.sofia,anusha,0.9,6,0.4856,0.4913,0.9999,0.3206
jon.mallar.sofia,anusha,0.9,101,0.6221,0.689,0.9999,0.4515
jon.mallar.sofia,anusha,0.9,102,0.6498,0.8009,0.9999,0.4812
jon.mallar.sofia,anusha,0.9,104,0.7136,0.6244,0.9999,0.5547
jon.mallar.sofia,anusha,0.9,105,0.5815,0.6587,0.9999,0.4100
jon.mallar.sofia,anusha,0.9,106,0.4965,0.4722,0.9999,0.3303
jon.sofia.nancy,anusha,0.9,1,0.5340,0.5853,0.9999,0.3642
jon.sofia.nancy,anusha,0.9,2,0.5518,0.6635,0.9999,0.3810
jon.sofia.nancy,anusha,0.9,4,0.6058,0.5580,0.9999,0.4346
jon.sofia.nancy,anusha,0.9,5,0.4102,0.5517,0.9999,0.2580
jon.sofia.nancy,anusha,0.9,6,0.4370,0.4663,0.9999,0.2796
jon.sofia.nancy,anusha,0.9,101,0.6166,0.6734,0.9999,0.4458
jon.sofia.nancy,anusha,0.9,102,0.6263,0.7753,0.9999,0.4559
jon.sofia.nancy,anusha,0.9,104,0.7055,0.6274,0.9999,0.5450
jon.sofia.nancy,anusha,0.9,105,0.5,0.6031,0.9999,0.3333
jon.sofia.nancy,anusha,0.9,106,0.4696,0.4631,0.9999,0.3069
mallar.nancy.sofia,anusha,0.9,1,0.5329,0.5634,0.9999,0.3632
mallar.nancy.sofia,anusha,0.9,2,0.5548,0.7054,0.9999,0.3839
mallar.nancy.sofia,anusha,0.9,4,0.6215,0.5630,0.9999,0.4509
mallar.nancy.sofia,anusha,0.9,5,0.4501,0.5432,0.9999,0.2904
mallar.nancy.sofia,anusha,0.9,6,0.4652,0.4736,0.9999,0.3031
mallar.nancy.sofia,anusha,0.9,101,0.6062,0.6831,0.9999,0.4349
mallar.nancy.sofia,anusha,0.9,102,0.6536,0.8057,0.9999,0.4855
mallar.nancy.sofia,anusha,0.9,104,0.7094,0.6354,0.9999,0.5496
mallar.nancy.sofia,anusha,0.9,105,0.5219,0.5574,0.9999,0.3530
mallar.nancy.sofia,anusha,0.9,106,0.4883,0.4586,0.9999,0.3230
anusha.mallar.nancy,jon,0.9,1,0.5490,0.5701,0.9999,0.3783
anusha.mallar.nancy,jon,0.9,2,0.5112,0.5270,0.9999,0.3433
anusha.mallar.nancy,jon,0.9,4,0.6375,0.6032,0.9999,0.4679
anusha.mallar.nancy,jon,0.9,5,0.3788,0.4971,0.9999,0.2336
anusha.mallar.nancy,jon,0.9,6,0.4543,0.4897,0.9999,0.2939
anusha.mallar.nancy,jon,0.9,101,0.5401,0.5780,0.9999,0.3700
anusha.mallar.nancy,jon,0.9,102,0.5789,0.5794,0.9999,0.4073
